DZIEN	ILE_NUMEROW
2012-11-06	1002342
2012-12-29	595166
2013-06-23	545759
2013-08-08	554634
2013-09-13	639698
2013-11-13	571835
2014-02-24	518562
2014-04-24	475353
2014-07-03	508668
2013-05-11	564991
2013-08-21	537920
2014-02-18	502803
2014-02-28	563894
2014-04-03	517978
2014-05-19	492840
2014-05-27	956512
2012-09-22	537549
2013-02-17	441646
2013-01-10	681499
2013-01-29	577991
2013-11-19	516004
2014-01-10	571491
2014-04-17	488880
2013-09-10	607437
2013-12-20	542546
2013-12-04	541292
2013-04-03	644390
2013-05-01	423563
2014-07-08	457537
2013-04-01	384443
2012-12-02	470302
2013-06-22	541860
2014-01-09	531774
2013-04-17	537311
2014-01-13	539183
2014-04-22	504490
2013-12-01	414295
2012-09-28	743739
2013-02-28	677156
2013-07-16	576809
2012-12-03	749097
2013-01-17	613121
2013-12-17	494178
2013-12-24	710370
2014-01-31	515647
2012-12-23	686423
2013-10-06	413606
2013-10-22	504913
2014-06-28	491282
2012-08-25	571489
2012-09-09	568220
2012-12-12	653106
2013-09-24	531808
2014-02-05	535808
2014-04-20	315632
2012-08-17	528166
2013-08-19	602972
2014-06-11	486484
2014-07-19	407006
2013-10-21	541782
2013-11-08	572186
2014-06-01	403106
2013-05-28	677582
2013-08-20	558588
2013-11-03	432065
2014-02-10	586461
2012-10-01	785917
2012-12-13	712264
2012-12-10	699831
2014-04-06	368708
2013-05-05	488739
2013-07-21	442978
2013-07-14	463959
2013-09-27	554191
2012-08-01	486975
2013-04-30	655453
2013-10-27	410310
2012-12-15	673996
2013-03-25	676200
2013-06-14	706420
2014-08-04	477189
2013-07-23	629857
2013-08-18	488744
2014-07-06	470571
2014-07-20	345628
2012-12-07	653456
2013-10-11	572053
2013-12-25	371126
2014-04-02	457821
2013-02-26	583988
2013-12-28	466472
2014-03-06	465735
2013-03-08	648073
2013-11-20	501083
2013-12-03	552768
2014-02-20	458612
2013-09-11	556597
2013-06-24	663283
2013-10-25	641397
2013-12-15	442651
2012-08-08	478138
2013-03-23	550537
2013-04-14	422665
2013-10-17	510529
2012-08-24	560414
2012-09-15	652889
2012-09-30	546506
2013-07-28	509704
2014-05-21	445978
2012-12-05	714320
2012-10-15	763599
2012-11-30	722383
2013-02-07	590946
2013-02-25	688766
2013-05-22	592852
2013-10-18	597082
2014-02-27	462203
2012-10-08	627068
2013-02-02	538086
2013-05-13	719489
2014-03-25	553825
2014-03-30	349126
2014-04-18	580541
2014-05-17	428152
2012-09-17	660756
2014-06-29	368311
2013-03-28	629445
2013-06-03	724400
2013-08-28	639296
2013-08-09	718757
2013-10-13	492871
2013-04-06	501735
2013-08-30	577753
2013-09-22	408189
2014-02-09	422820
2014-03-17	491795
2012-11-10	605555
2012-12-25	540188
2013-08-03	599460
2013-08-23	657468
2013-09-07	494866
2013-11-12	630519
2012-08-27	591880
2012-09-19	595829
2012-10-20	638897
2014-01-15	544512
2014-01-22	446811
2013-05-19	434048
2014-01-26	350317
2012-10-27	631946
2013-04-13	590086
2013-07-27	520406
2014-02-26	479608
2012-11-05	889373
2013-10-30	503363
2013-03-29	591586
2013-09-25	652016
2013-05-09	692110
2013-07-31	620547
2013-10-20	398948
2014-04-08	455114
2014-06-05	525054
2013-03-11	595244
2014-03-29	420983
2014-05-18	424333
2013-09-05	615421
2013-10-29	520672
2014-07-17	2778627
2012-12-09	577730
2013-05-17	611736
2013-06-25	704766
2012-08-03	519119
2013-02-16	553165
2014-03-24	514450
2012-10-10	656652
2013-05-30	396361
2013-06-11	617173
2014-01-30	443877
2014-07-23	485933
2012-09-12	615211
2012-11-28	677335
2013-08-29	558227
2013-12-08	384633
2012-09-13	700219
2012-10-12	638559
2013-08-10	559364
2014-05-22	446180
2013-02-08	624207
2014-01-07	505243
2012-10-21	529163
2013-09-16	606443
2013-10-19	471495
2014-01-06	322311
2012-09-18	691400
2014-05-01	363000
2014-06-25	525125
2014-03-14	521738
2013-04-02	601308
2012-09-04	644567
2013-06-10	689300
2013-11-10	466589
2014-05-13	549509
2013-12-09	639743
2012-08-14	517993
2013-03-18	641639
2013-05-16	623968
2013-08-27	578972
2013-10-16	527496
2012-12-14	677271
2013-03-19	548698
2014-03-11	473989
2014-06-22	343199
2013-09-06	572934
2014-05-04	371487
2014-06-09	624856
2014-04-25	572670
2014-04-29	470304
2012-11-12	743891
2014-02-02	352762
2014-07-14	2272165
2013-02-13	829897
2012-11-29	598498
2013-01-28	711201
2012-12-06	652258
2013-05-07	565614
2013-07-07	450298
2014-02-16	358264
2012-10-07	452108
2013-10-10	599031
2013-12-05	578594
2014-02-17	490386
2014-05-28	675173
2013-06-19	582842
2014-03-03	564059
2014-04-30	562840
2012-08-28	642201
2012-12-17	698908
2013-08-06	567478
2014-06-04	471670
2012-12-31	805982
2013-11-05	590174
2013-01-14	690131
2013-11-28	579097
2014-03-22	408016
2013-05-14	627405
2013-08-31	576306
2013-09-14	497786
2013-11-23	505880
2014-07-02	450028
2012-10-02	647143
2014-04-11	513406
2012-08-19	385030
2014-01-20	505610
2013-06-13	681963
2013-06-29	575290
2014-01-12	340448
2014-06-30	540541
2013-01-13	557297
2014-04-10	525483
2013-11-26	520885
2012-11-16	652591
2013-01-03	742212
2013-02-10	472293
2013-04-28	504632
2013-04-16	549019
2013-10-14	566132
2014-04-07	492774
2012-08-26	394175
2013-04-19	564969
2013-05-03	457912
2014-02-25	540137
2014-07-04	465635
2013-11-30	534117
2014-07-15	1351595
2013-05-18	626556
2014-06-08	341636
2013-02-27	549063
2013-08-05	667805
2014-02-06	467603
2014-08-06	449376
2013-04-26	617576
2012-10-31	875276
2013-02-09	666655
2013-05-02	557742
2014-05-08	477264
2014-06-07	433666
2014-08-09	528374
2012-09-07	649027
2013-05-15	685256
2014-05-26	520416
2013-12-14	488528
2014-02-19	467416
2012-09-27	613304
2012-11-15	711457
2013-07-06	540197
2013-12-16	541722
2012-09-25	725322
2013-01-07	695205
2013-03-06	558251
2014-01-25	470683
2014-08-07	439937
2013-08-14	606319
2014-07-31	492989
2013-03-14	546252
2013-05-06	610408
2013-08-24	516253
2013-12-21	480602
2014-06-15	427981
2014-06-17	460797
2012-08-12	370890
2014-05-23	540608
2014-06-02	510855
2012-10-16	671282
2013-05-08	623319
2013-07-30	548533
2014-06-13	583917
2012-11-04	649722
2014-07-25	554094
2013-03-07	556850
2013-09-18	603327
2013-11-09	580563
2014-06-19	313411
2012-11-24	614364
2013-01-31	652533
2013-04-15	651326
2014-01-18	535825
2014-04-23	538699
2014-02-07	485094
2013-05-26	519951
2014-05-14	468455
2013-11-18	581962
2013-01-09	739652
2013-02-24	423038
2013-06-18	649749
2014-03-13	530932
2014-04-12	437299
2014-07-05	364135
2012-11-20	611811
2013-05-29	624462
2013-08-01	601321
2012-09-20	601064
2012-12-04	676833
2013-01-11	691189
2013-08-15	475707
2014-02-03	553705
2012-08-20	477659
2013-06-15	776360
2013-07-18	625213
2013-08-12	593521
2013-09-01	454736
2014-05-02	455364
2014-07-29	432272
2012-08-16	530516
2013-05-12	479301
2013-10-15	623975
2014-01-11	433663
2014-02-04	473881
2014-04-09	578594
2014-05-03	374865
2014-07-24	449075
2013-08-02	588129
2013-03-10	437021
2013-06-16	542402
2013-12-18	545657
2014-01-05	390837
2014-03-20	460736
2012-08-23	608862
2014-01-17	416298
2014-07-30	438900
2012-08-09	560497
2013-07-02	578692
2013-03-12	553098
2014-01-24	499675
2014-06-16	508777
2012-09-29	576976
2014-03-21	471567
2013-01-26	550687
2013-07-12	598575
2013-09-28	559887
2013-12-11	530264
2013-12-22	401471
2012-10-22	743317
2013-01-18	691059
2013-09-09	707876
2013-12-31	590068
2014-01-14	488661
2014-04-13	457638
2014-04-28	562882
2014-06-03	527229
2013-06-27	600112
2012-11-11	469638
2012-11-14	631180
2014-07-16	2065012
2013-01-02	655299
2012-08-15	380174
2013-06-09	581834
2013-10-26	500301
2012-10-05	712590
2012-12-24	890264
2013-09-03	627845
2014-04-27	339423
2012-08-29	540529
2012-09-02	482157
2013-02-20	540189
2013-06-12	597977
2013-06-08	565500
2013-03-30	570180
2012-08-06	490799
2012-09-03	793088
2013-09-29	408452
2013-01-27	425328
2014-03-19	479012
2014-05-16	484643
2012-09-14	664812
2013-02-22	573965
2013-08-04	443909
2014-06-21	396801
2014-07-28	536808
2013-04-20	497805
2013-07-29	593323
2014-01-04	431970
2014-06-12	478721
